Continent,Provide,PTT,Shell,Esso,Chevron,Bangchak,Thai Oil,RPCG,Susco,Susco Dealer,PTG,IRPC,PTT Oil and Retail Business,PC,Saengthong,Picnic,WP energy,Unique Gas,Saim Gas,PAP,NS Gas,Takuni,Orchid Gas LPG Station,Thai Gas,Other
E,NYK, 9 , 1 , 3 , 1 , 3 ,0, 1 , 1 ,0, 5 ,0,0,0,0,0,0, 2 , 1 ,0,0,0,0,0, 57 
E,PRI, 14 , 5 , 5 , 5 , 8 ,0, 2 , 1 ,0, 6 ,0,0,0,0,0, 5 , 1 , 3 ,0,0,0,0, 1 , 84 
E,RYG, 26 , 10 , 7 , 6 , 18 ,0, 2 , 4 ,0, 11 , 1 , 5 ,0,0, 3 , 6 , 1 , 6 , 3 ,0,0,0,0, 145 
E,CTI, 14 , 10 , 5 , 2 , 14 ,0,0,0,0, 3 ,0,0,0,0, 1 , 6 ,0, 4 ,0, 2 ,0,0,0, 126 
E,TRT, 9 , 2 , 1 ,0, 5 ,0,0,0,0, 2 ,0,0,0,0,0, 1 ,0, 1 ,0,0,0,0,0, 75 
E,SKW, 9 , 1 , 4 , 6 , 13 ,0, 1 , 2 ,0, 8 ,0,0,0,0,0, 6 ,0, 1 ,0, 2 ,0, 1 , 1 , 292 
W,PBI, 20 , 6 , 6 , 2 , 8 ,0, 1 ,0,0, 13 ,0, 2 ,0,0, 7 , 3 ,0,0, 3 ,0,0,0,0, 127 
W,RBR, 23 , 1 , 7 , 2 , 2 ,0,0,0,0, 15 ,0, 3 ,0,0, 11 , 4 , 1 , 2 ,0,0,0, 1 ,0, 236 
W,SPB, 31 , 7 , 8 , 7 , 17 ,0, 3 ,0,0, 12 ,0,0,0,0, 3 , 5 , 3 , 1 , 2 ,0, 5 ,0,0, 301 
W,PKN, 22 , 5 , 5 , 1 , 6 ,0,0, 1 ,0, 11 ,0,0, 1 ,0, 4 , 5 , 1 , 8 , 1 ,0,0,0,0, 156 
W,KRI, 28 , 7 , 11 , 2 , 8 ,0,0,0, 1 , 17 ,0, 2 ,0,0, 6 , 3 , 3 , 1 ,0,0, 1 ,0,0, 249 
W,SKN, 16 , 2 , 6 , 4 , 16 ,0,0, 2 , 2 , 5 ,0, 5 ,0, 2 , 5 , 2 , 2 , 5 ,0,0,0,0,0, 85 
W,SKM, 7 , 2 , 2 , 3 , 1 ,0,0,0,0,0,0,0,0,0, 5 , 1 ,0, 1 ,0, 1 ,0,0,0, 34 
W,NPT, 32 , 8 , 15 , 5 , 20 ,0, 2 , 1 , 1 , 24 ,0, 8 ,0,0, 21 , 2 , 6 , 6 , 1 ,0,0,0, 1 , 167 
S,CPN, 25 , 4 , 5 , 5 , 7 ,0,0,0,0, 11 ,0,0,0,0,0,0, 1 , 7 ,0,0,0,0,0, 134 
S,RNG, 5 ,0, 1 , 1 ,0,0,0,0,0, 5 ,0,0,0,0,0, 1 ,0,0,0,0,0,0,0, 18 
S,PKT, 9 , 9 , 5 , 5 , 3 ,0,0, 2 ,0, 1 ,0,0,0,0,0,0, 4 , 1 ,0,0,0,0,0, 15 
S,PNA, 11 , 5 , 3 , 1 , 6 ,0,0, 1 ,0, 1 ,0,0,0,0,0,0, 1 , 2 ,0,0,0,0,0, 19 
S,KBI, 10 , 6 , 6 , 1 , 10 ,0,0, 5 ,0, 1 ,0,0,0,0,0,0, 1 , 1 ,0,0,0,0,0, 131 
S,SNI, 48 , 9 , 11 , 16 , 9 ,0,0, 8 ,0, 6 ,0,0, 9 ,0,0, 1 , 1 , 9 ,0,0,0,0,0, 184 
S,NST, 33 , 13 , 3 , 4 , 10 ,0,0, 5 ,0, 15 ,0,0,0,0, 2 , 2 , 5 , 4 ,0,0,0,0,0, 461 
S,PLG, 7 , 3 , 1 , 3 , 4 ,0,0,0,0, 9 ,0,0, 1 ,0,0,0,0, 3 ,0,0,0,0,0, 201 
S,TRG, 7 , 4 , 5 , 3 , 9 ,0,0, 9 ,0, 2 ,0,0,0,0,0,0, 1 , 3 ,0,0,0,0,0, 184 
S,SKA, 32 , 17 , 6 , 8 , 13 ,0,0, 5 ,0, 10 ,0,0,0,0, 1 , 23 , 3 , 2 ,0,0,0,0,0, 239 
S,STN, 6 , 1 , 1 , 1 , 2 ,0,0, 2 ,0, 2 ,0,0,0,0,0,0, 2 ,0,0,0,0,0,0, 50 
S,PTN, 11 , 2 ,0,0, 3 ,0,0, 4 ,0,0,0,0,0,0,0,0, 1 ,0,0,0,0,0,0, 53 
S,YLA, 8 , 1 , 1 , 1 , 1 ,0,0, 1 ,0, 1 ,0,0,0,0, 1 ,0,0, 1 ,0,0,0,0,0, 45 
S,NWT, 7 , 2 , 3 , 2 , 2 ,0,0, 2 ,0,0,0,0,0,0,0,0,0, 1 ,0,0,0,0,0, 13 
